Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
5_8_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_7_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167071.712642026919639	0.011000000000000
6_8_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_6_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-171059.062162166374037	0.010000000000000
6_6_6_2_3_3_4_6_2_2_1_3_5_7_4_5_3_3_5_4_3_4_4_3	1	1091775.743270682636648	14232.240270023692574	2313094.603491208516061	1.018000000000000	-166555.749983871908626	0.008000000000000
7_6_6_2_3_3_6_2_2_2_1_3_6_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170422.336666267307010	0.010000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170646.987180720199831	0.009000000000000
7_5_7_3_3_3_4_2_2_2_1_3_5_12_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170450.832408067886718	0.010000000000000
8_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170365.336674154590582	0.012000000000000
7_5_6_2_3_3_4_5_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-171038.481367763335584	0.007000000000000
6_8_6_2_3_3_4_2_2_3_1_3_5_10_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169776.074376338743605	0.015000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_11_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170257.429222412960371	0.012000000000000
7_6_6_2_3_3_6_2_3_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170667.754881292785285	0.010000000000000
7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170757.573571231070673	0.010000000000000
