route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17562,2448,284599464,IFF:IC:2881,Amsterdam Centraal,2881,Intercity,0,,1359602,0,1
17562,2292,284599473,IFF:IC:2876,Rotterdam Centraal,2876,Intercity,1,259998,1270053,0,1
17562,2448,284599491,IFF:IC:2874,Rotterdam Centraal,2874,Intercity,1,,1359603,0,1
17562,2389,284599509,IFF:IC:2829,Alkmaar,2829,Intercity,0,,1359602,0,1
17562,2389,284599545,IFF:IC:2874,Rotterdam Centraal,2874,Intercity,1,,1359603,0,1
17562,2425,284599557,IFF:IC:2882,Rotterdam Centraal,2882,Intercity,1,,1359603,0,1
17562,2389,284599561,IFF:IC:2881,Amsterdam Centraal,2881,Intercity,0,,1359602,0,1
17562,2389,284599628,IFF:IC:2822,Rotterdam Centraal,2822,Intercity,1,,1359603,0,1
17562,2448,284599754,IFF:IC:2877,Alkmaar,2877,Intercity,0,,1359602,0,1
17562,2448,284599767,IFF:IC:2869,Alkmaar,2869,Intercity,0,,1359602,0,1
17562,2389,284599812,IFF:IC:2831,Alkmaar,2831,Intercity,0,,1359602,0,1
17562,2389,284599879,IFF:IC:2834,Rotterdam Centraal,2834,Intercity,1,,1359603,0,1
17562,2389,284599922,IFF:IC:2819,Amsterdam Centraal,2819,Intercity,0,,1359602,0,1
17562,2389,284599964,IFF:IC:2873,Amsterdam Centraal,2873,Intercity,0,,1359602,0,1
17562,2425,284600001,IFF:IC:2853,Alkmaar,2853,Intercity,0,,1359602,0,1
17562,2448,284600141,IFF:IC:2856,Rotterdam Centraal,2856,Intercity,1,,1359603,0,1
17562,2448,284600206,IFF:IC:2823,Amsterdam Centraal,2823,Intercity,0,,1359602,0,1
17562,2425,284600255,IFF:IC:2878,Rotterdam Centraal,2878,Intercity,1,,1359603,0,1
17562,2448,284600303,IFF:IC:2868,Rotterdam Centraal,2868,Intercity,1,,1359603,0,1
17562,2425,284600339,IFF:IC:2865,Alkmaar,2865,Intercity,0,,1359602,0,1
17562,2425,284600347,IFF:IC:2833,Alkmaar,2833,Intercity,0,,1359602,0,1
17562,2389,285265232,IFF:IC:2832,Rotterdam Centraal,2832,Intercity,1,,1359603,0,1
17562,2706,285266697,IFF:IC:2870,Rotterdam Centraal,2870,Intercity,1,261295,1270053,0,1
17562,2706,285266705,IFF:IC:2863,Enschede,2863,Intercity,0,261305,1270054,0,1
17562,2706,285266716,IFF:IC:2867,Enschede,2867,Intercity,0,261317,1270054,0,1
17562,2706,285266773,IFF:IC:2820,Rotterdam Centraal,2820,Intercity,1,261381,1270053,0,1
17562,2611,285266785,IFF:IC:2886,Rotterdam Centraal,2886,Intercity,1,261394,1270053,0,1
17562,2706,285266816,IFF:IC:2865,Enschede,2865,Intercity,0,261428,1270054,0,1
17562,2611,285266833,IFF:IC:2884,Rotterdam Centraal,2884,Intercity,1,261446,1270053,0,1
17562,2487,285266836,IFF:IC:2881,Amsterdam Centraal,2881,Intercity,0,,1359602,0,1
17562,2706,285266855,IFF:IC:2824,Rotterdam Centraal,2824,Intercity,1,261471,1270053,0,1
17562,2487,285266895,IFF:IC:2849,Alkmaar,2849,Intercity,0,,1359602,0,1
17562,2487,285266941,IFF:IC:2866,Rotterdam Centraal,2866,Intercity,1,,1359603,0,1
17562,2487,285266942,IFF:IC:2852,Rotterdam Centraal,2852,Intercity,1,,1359603,0,1
17562,2706,285267072,IFF:IC:2840,Rotterdam Centraal,2840,Intercity,1,261712,1270053,0,1
17562,2706,285267102,IFF:IC:2866,Rotterdam Centraal,2866,Intercity,1,261745,1270053,0,1
17562,2706,285267115,IFF:IC:2871,Enschede,2871,Intercity,0,261759,1270054,0,1
17562,2487,285267168,IFF:IC:2860,Rotterdam Centraal,2860,Intercity,1,,1359603,0,1
17562,2487,285267200,IFF:IC:2842,Rotterdam Centraal,2842,Intercity,1,,1359603,0,1
17562,2487,285267253,IFF:IC:2870,Rotterdam Centraal,2870,Intercity,1,,1359603,0,1
17562,2487,285267281,IFF:IC:2887,Amsterdam Centraal,2887,Intercity,0,,1359602,0,1
17562,2487,285267331,IFF:IC:2871,Alkmaar,2871,Intercity,0,,1359602,0,1
17562,2706,285267396,IFF:IC:2834,Rotterdam Centraal,2834,Intercity,1,262071,1270053,0,1
17562,2487,285267438,IFF:IC:2851,Alkmaar,2851,Intercity,0,,1359602,0,1
17562,2706,285267574,IFF:IC:2849,Enschede,2849,Intercity,0,262268,1270054,0,1
17562,2487,285267597,IFF:IC:2838,Rotterdam Centraal,2838,Intercity,1,,1359603,0,1
17562,2487,285267715,IFF:IC:2846,Rotterdam Centraal,2846,Intercity,1,,1359603,0,1
17562,2487,285267730,IFF:IC:2864,Rotterdam Centraal,2864,Intercity,1,,1359603,0,1
17562,2721,285267758,IFF:IC:2831,Enschede,2831,Intercity,0,262475,1270054,0,1
17562,2706,285267829,IFF:IC:2858,Rotterdam Centraal,2858,Intercity,1,262553,1270053,0,1
17562,2487,285267836,IFF:IC:2880,Rotterdam Centraal,2880,Intercity,1,,1359603,0,1
17562,2706,285267858,IFF:IC:2822,Rotterdam Centraal,2822,Intercity,1,262586,1270053,0,1
17562,2706,285267887,IFF:IC:2880,Rotterdam Centraal,2880,Intercity,1,262617,1270053,0,1
17562,2706,285267930,IFF:IC:2853,Enschede,2853,Intercity,0,262665,1270054,0,1
17562,2487,285267931,IFF:IC:2859,Alkmaar,2859,Intercity,0,,1359602,0,1
17562,2706,285267974,IFF:IC:2850,Rotterdam Centraal,2850,Intercity,1,262714,1270053,0,1
17562,2706,285267990,IFF:IC:2823,Enschede,2823,Intercity,0,262731,1270054,0,1
17562,2487,285268007,IFF:IC:2855,Alkmaar,2855,Intercity,0,,1359602,0,1
17562,2706,285268056,IFF:IC:2869,Enschede,2869,Intercity,0,262805,1270054,0,1
17562,2487,285268169,IFF:IC:2868,Rotterdam Centraal,2868,Intercity,1,,1359603,0,1
17562,2611,285268200,IFF:IC:2876,Rotterdam Centraal,2876,Intercity,1,262965,1270053,0,1
17562,2634,285268254,IFF:IC:2882,Rotterdam Centraal,2882,Intercity,1,263024,1270053,0,1
17562,2706,285268276,IFF:IC:2862,Rotterdam Centraal,2862,Intercity,1,263049,1270053,0,1
17562,2706,285268409,IFF:IC:2884,Rotterdam Centraal,2884,Intercity,1,263196,1270053,0,1
17562,2487,285268420,IFF:IC:2857,Alkmaar,2857,Intercity,0,,1359602,0,1
17562,2706,285268473,IFF:IC:2852,Rotterdam Centraal,2852,Intercity,1,263268,1270053,0,1
17562,2487,285268552,IFF:IC:2877,Alkmaar,2877,Intercity,0,,1359602,0,1
17562,2487,285268594,IFF:IC:2889,Amsterdam Centraal,2889,Intercity,0,,1359602,0,1
17562,2487,285268635,IFF:IC:2828,Rotterdam Centraal,2828,Intercity,1,,1270053,0,1
17562,2706,285268668,IFF:IC:2872,Rotterdam Centraal,2872,Intercity,1,263486,1270053,0,1
17562,2706,285268757,IFF:IC:2856,Rotterdam Centraal,2856,Intercity,1,263583,1270053,0,1
17562,2487,285268777,IFF:IC:2856,Rotterdam Centraal,2856,Intercity,1,,1359603,0,1
17562,2706,285268814,IFF:IC:2841,Enschede,2841,Intercity,0,263647,1270054,0,1
17562,2487,285268833,IFF:IC:2882,Rotterdam Centraal,2882,Intercity,1,,1359603,0,1
17562,2706,285268861,IFF:IC:2827,Enschede,2827,Intercity,0,263699,1270054,0,1
17562,2487,285268918,IFF:IC:2862,Rotterdam Centraal,2862,Intercity,1,,1359603,0,1
17562,2706,285268944,IFF:IC:2845,Enschede,2845,Intercity,0,263791,1270054,0,1
17562,2664,285269006,IFF:IC:2886,Rotterdam Centraal,2886,Intercity,1,263860,1270053,0,1
17562,2558,285269008,IFF:IC:2886,Rotterdam Centraal,2886,Intercity,1,263862,1270053,0,1
17562,2487,285269021,IFF:IC:2844,Rotterdam Centraal,2844,Intercity,1,,1359603,0,1
17562,2487,285269033,IFF:IC:2883,Amsterdam Centraal,2883,Intercity,0,,1359602,0,1
17562,2487,285269035,IFF:IC:2878,Rotterdam Centraal,2878,Intercity,1,,1359603,0,1
17562,2706,285269076,IFF:IC:2832,Rotterdam Centraal,2832,Intercity,1,263936,1270053,0,1
17562,2706,285269109,IFF:IC:2843,Enschede,2843,Intercity,0,263974,1270054,0,1
17562,2487,285269163,IFF:IC:2847,Alkmaar,2847,Intercity,0,,1359602,0,1
