route_ID,name,bus_stop,StopID,traveltime to next stop
27,55 - Starrenburg,"Station Leiden Centraal, Leiden (Aankomst)",73,4
27,55 - Starrenburg,"Station Leiden Centraal, Leiden (Vertrek)",74,1
27,55 - Starrenburg,"Steenstraat, Leiden",75,2
27,55 - Starrenburg,"Noordeinde, Leiden",59,2
27,55 - Starrenburg,"De Genestetstraat, Leiden",20,1
27,55 - Starrenburg,"Churchillbrug, Leiden",15,2
27,55 - Starrenburg,"Brandts Buyskade, Leiden",10,1
27,55 - Starrenburg,"Cornelis Schuytlaan, Leiden",16,1
27,55 - Starrenburg,"Sweelincklaan, Leiden",80,1
27,55 - Starrenburg,"Bizetpad, Leiden",7,1
27,55 - Starrenburg,"Trompweg, Voorschoten",81,0
29,56 - Stationsstraat,"Gorlaeus Laboratorium, Leiden",30,2
29,56 - Stationsstraat,"Blauwe Vogelweg, Leiden",8,3
29,56 - Stationsstraat,"Alrijne Ziekenhuis, Leiden",2,1
29,56 - Stationsstraat,"Posthof, Leiden",65,2
29,56 - Stationsstraat,"Leiden CS Westzijde, Leiden",47,1
29,56 - Stationsstraat,"Station Leiden Centraal, Leiden (Aankomst)",73,2
29,56 - Stationsstraat,"Station Leiden Centraal, Leiden (Vertrek)",74,2
29,56 - Stationsstraat,"Steenstraat, Leiden",75,3
29,56 - Stationsstraat,"Breestraat, Leiden",11,1
29,56 - Stationsstraat,"Korevaarstraat, Leiden",45,1
29,56 - Stationsstraat,"Hogewoerd, Leiden",36,2
29,56 - Stationsstraat,"Pelikaan, Leiden",63,0
29,56 - Stationsstraat,"Houtmarkt, Leiden",38,2
29,56 - Stationsstraat,"Kooipark, Leiden",43,1
29,56 - Stationsstraat,"Surinamestraat, Leiden",79,1
29,56 - Stationsstraat,"Sumatrastraat, Leiden",78,3
30,56 - Sassenheim,"Sumatrastraat, Leiden",78,1
30,56 - Sassenheim,"Surinamestraat, Leiden",79,1
30,56 - Sassenheim,"Kooipark, Leiden",43,2
30,56 - Sassenheim,"Houtmarkt, Leiden",38,0
30,56 - Sassenheim,"Pelikaan, Leiden",63,2
30,56 - Sassenheim,"Hogewoerd, Leiden",36,1
30,56 - Sassenheim,"Korevaarstraat, Leiden",45,1
30,56 - Sassenheim,"Breestraat, Leiden",11,2
30,56 - Sassenheim,"Prinsessekade, Leiden",66,1
30,56 - Sassenheim,"Nieuwe Beestenmarkt, Leiden",57,3
30,56 - Sassenheim,"Station Leiden Centraal, Leiden (Aankomst)",73,2
30,56 - Sassenheim,"Station Leiden Centraal, Leiden (Vertrek)",74,1
30,56 - Sassenheim,"Leiden CS Westzijde, Leiden",47,1
30,56 - Sassenheim,"Posthof, Leiden",65,2
30,56 - Sassenheim,"Alrijne Ziekenhuis, Leiden",2,2
30,56 - Sassenheim,"Albinusdreef, Leiden",1,1
30,56 - Sassenheim,"Blauwe Vogelweg, Leiden",8,1
30,56 - Sassenheim,"Gorlaeus Laboratorium, Leiden",30,1
32,169 - Alphen ad Rijn,"Station Leiden Centraal, Leiden (Vertrek)",74,2
32,169 - Alphen ad Rijn,"Steenstraat, Leiden",75,3
32,169 - Alphen ad Rijn,"Breestraat, Leiden",11,2
32,169 - Alphen ad Rijn,"Korevaarstraat, Leiden",45,2
32,169 - Alphen ad Rijn,"Kraaierstraat, Leiden",46,1
32,169 - Alphen ad Rijn,"Plantage, Leiden",64,2
32,169 - Alphen ad Rijn,"Burggravenlaan, Leiden",13,2
32,169 - Alphen ad Rijn,"Meerburgerkade, Leiden",52,1
32,169 - Alphen ad Rijn,"Leiderdorpsebrug, Leiden",48,1
31,169 - Leiden Centraal,"Leiderdorpsebrug, Leiden",48,1
31,169 - Leiden Centraal,"Meerburgerkade, Leiden",52,1
31,169 - Leiden Centraal,"Wilhelminabrug, Leiden",93,1
31,169 - Leiden Centraal,"Burggravenlaan, Leiden",13,2
31,169 - Leiden Centraal,"Plantage, Leiden",64,1
31,169 - Leiden Centraal,"Kraaierstraat, Leiden",46,2
31,169 - Leiden Centraal,"Korevaarstraat, Leiden",45,1
31,169 - Leiden Centraal,"Breestraat, Leiden",11,4
31,169 - Leiden Centraal,"Prinsessekade, Leiden",66,1
31,169 - Leiden Centraal,"Nieuwe Beestenmarkt, Leiden",57,3
31,169 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
33,182 - Leiden Centraal,"Leiderdorpsebrug, Leiden",48,1
33,182 - Leiden Centraal,"Meerburgerkade, Leiden",52,1
33,182 - Leiden Centraal,"Wilhelminabrug, Leiden",93,1
33,182 - Leiden Centraal,"Burggravenlaan, Leiden",13,1
33,182 - Leiden Centraal,"Plantage, Leiden",64,1
33,182 - Leiden Centraal,"Kraaierstraat, Leiden",46,2
33,182 - Leiden Centraal,"Jan van Houtkade, Leiden",40,2
33,182 - Leiden Centraal,"Witte Rozenstraat, Leiden",94,1
33,182 - Leiden Centraal,"Paterstraat, Leiden",62,1
33,182 - Leiden Centraal,"Noordeinde, Leiden",59,1
33,182 - Leiden Centraal,"Prinsessekade, Leiden",66,1
33,182 - Leiden Centraal,"Nieuwe Beestenmarkt, Leiden",57,4
33,182 - Leiden Centraal,"Station Leiden Centraal, Leiden (Aankomst)",73,0
34,182 - Alphen ad Rijn,"Station Leiden Centraal, Leiden (Vertrek)",74,1
34,182 - Alphen ad Rijn,"Steenstraat, Leiden",75,1
34,182 - Alphen ad Rijn,"Noordeinde, Leiden",59,1
34,182 - Alphen ad Rijn,"Paterstraat, Leiden",62,2
34,182 - Alphen ad Rijn,"Witte Rozenstraat, Leiden",94,2
34,182 - Alphen ad Rijn,"Jan van Houtkade, Leiden",40,2
34,182 - Alphen ad Rijn,"Kraaierstraat, Leiden",46,1
34,182 - Alphen ad Rijn,"Plantage, Leiden",64,2
34,182 - Alphen ad Rijn,"Burggravenlaan, Leiden",13,2
34,182 - Alphen ad Rijn,"Meerburgerkade, Leiden",52,1
34,182 - Alphen ad Rijn,"Leiderdorpsebrug, Leiden",48,2
36,183 - Alphen ad Rijn,"Niels Bohrweg, Leiden",56,1
36,183 - Alphen ad Rijn,"Universiteitsterrein, Leiden",83,2
36,183 - Alphen ad Rijn,"Noodhalte Naturalis, Leiden",58,6
36,183 - Alphen ad Rijn,"Station Leiden Centraal, Leiden (Aankomst)",73,2
36,183 - Alphen ad Rijn,"Station Leiden Centraal, Leiden (Vertrek)",74,1
36,183 - Alphen ad Rijn,"Steenstraat, Leiden",75,1
36,183 - Alphen ad Rijn,"Noordeinde, Leiden",59,1
36,183 - Alphen ad Rijn,"Paterstraat, Leiden",62,2
36,183 - Alphen ad Rijn,"Witte Rozenstraat, Leiden",94,2
36,183 - Alphen ad Rijn,"Jan van Houtkade, Leiden",40,1
36,183 - Alphen ad Rijn,"Kraaierstraat, Leiden",46,1
36,183 - Alphen ad Rijn,"Plantage, Leiden",64,1
36,183 - Alphen ad Rijn,"Burggravenlaan, Leiden",13,2
36,183 - Alphen ad Rijn,"Meerburgerkade, Leiden",52,2
36,183 - Alphen ad Rijn,"Leiderdorpsebrug, Leiden",48,2
35,183 - Corpus,"Leiderdorpsebrug, Leiden",48,0
35,183 - Corpus,"Meerburgerkade, Leiden",52,1
35,183 - Corpus,"Wilhelminabrug, Leiden",93,1
35,183 - Corpus,"Burggravenlaan, Leiden",13,1
35,183 - Corpus,"Plantage, Leiden",64,1
35,183 - Corpus,"Kraaierstraat, Leiden",46,2
35,183 - Corpus,"Jan van Houtkade, Leiden",40,2
35,183 - Corpus,"Witte Rozenstraat, Leiden",94,1
35,183 - Corpus,"Paterstraat, Leiden",62,1
35,183 - Corpus,"Noordeinde, Leiden",59,1
35,183 - Corpus,"Prinsessekade, Leiden",66,1
35,183 - Corpus,"Nieuwe Beestenmarkt, Leiden",57,2
35,183 - Corpus,"Station Leiden Centraal, Leiden (Aankomst)",73,2
35,183 - Corpus,"Station Leiden Centraal, Leiden (Vertrek)",74,5
35,183 - Corpus,"Noodhalte Naturalis, Leiden",58,3
35,183 - Corpus,"Universiteitsterrein, Leiden",83,1
35,183 - Corpus,"Niels Bohrweg, Leiden",56,1
37,187 - Leiden Centraal,Zaalbergweg/DZB Leiden,95,1
37,187 - Leiden Centraal,"De Heyderweg, Leiden",21,2
37,187 - Leiden Centraal,"Roomburg, Leiden",68,1
37,187 - Leiden Centraal,"Augustuspad, Leiden",5,2
37,187 - Leiden Centraal,"Zorgcentrum Roomburgh, Leiden",98,2
