Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
6_6_6_2_3_3_4_2_2_2_3_3_5_8_4_5_3_6_6_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-651599.816317731398158	0.056000000000000
6_7_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657440.344166753347963	0.047000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_7_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-662476.883175928844139	0.048000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_6_4_5_3_5_5_4_3_4_4_1	1	1099258.469986426876858	14307.277992002153042	2245055.333439277485013	1.593000000000000	-655288.825595661182888	0.044000000000000
8_5_7_3_3_3_4_2_2_3_4_3_5_6_4_5_3_4_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655831.325475489371456	0.093000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655582.954737584805116	0.045000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_7_4_5_3_5_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-663815.207167727639899	0.043000000000000
6_6_8_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-653884.992172839120030	0.044000000000000
7_5_7_3_3_3_4_2_2_2_3_3_5_7_4_5_3_5_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-662846.260309100965969	0.068000000000000
6_6_9_4_3_3_4_3_2_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657107.959199492586777	0.045000000000000
6_5_6_3_3_3_4_2_2_2_4_3_5_8_4_5_3_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657906.537811754620634	0.065000000000000
7_5_6_2_3_3_4_2_2_2_3_3_5_8_4_5_4_6_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-655232.069414074067026	0.047000000000000
6_6_8_4_3_3_4_3_2_2_1_3_6_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-659022.833393010194413	0.045000000000000
8_5_6_2_3_3_4_2_3_2_3_3_6_8_4_5_3_4_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-653548.205040909931995	0.062000000000000
