ID	Type	Line	Tail	Head	Time
602	1	8	72	302	0
603	2	8	302	72	0
604	0	9	303	304	4
605	0	9	304	305	2
606	0	9	305	306	1
607	0	9	306	307	36
608	0	9	307	306	33
609	0	9	306	305	2
610	0	9	305	304	2
611	0	9	304	308	6
612	1	9	73	303	0
613	2	9	303	73	0
614	1	9	57	304	0
615	2	9	304	57	0
616	1	9	82	305	0
617	2	9	305	82	0
618	1	9	55	306	0
619	2	9	306	55	0
620	1	9	104	307	0
621	2	9	307	104	0
622	1	9	72	308	0
623	2	9	308	72	0
624	0	10	309	310	5
625	0	10	310	311	2
626	0	10	311	312	1
627	0	10	312	313	19
628	0	10	313	312	19
629	0	10	312	311	1
630	0	10	311	310	2
631	0	10	310	314	6
632	1	10	73	309	0
633	2	10	309	73	0
634	1	10	57	310	0
635	2	10	310	57	0
636	1	10	82	311	0
637	2	10	311	82	0
638	1	10	55	312	0
639	2	10	312	55	0
640	1	10	105	313	0
641	2	10	313	105	0
642	1	10	72	314	0
643	2	10	314	72	0
644	0	11	315	316	1
645	0	11	316	317	1
646	0	11	317	318	1
647	0	11	318	319	39
648	0	11	319	318	38
649	0	11	318	317	4
650	0	11	317	316	3
651	0	11	316	320	1
652	1	11	73	315	0
653	2	11	315	73	0
654	1	11	46	316	0
655	2	11	316	46	0
656	1	11	64	317	0
657	2	11	317	64	0
658	1	11	49	318	0
659	2	11	318	49	0
660	1	11	106	319	0
661	2	11	319	106	0
662	1	11	72	320	0
663	2	11	320	72	0
664	0	12	321	322	16
665	0	12	322	323	2
666	0	12	323	324	1
667	0	12	324	325	1
668	0	12	325	326	1
669	0	12	326	327	1
670	0	12	327	328	2
671	0	12	328	329	1
672	0	12	329	330	1
673	0	12	330	331	1
674	0	12	331	332	2
675	0	12	332	333	4
676	0	12	333	334	1
677	0	12	334	335	2
678	0	12	335	336	1
679	0	12	336	337	1
680	0	12	337	338	25
681	0	12	338	337	21
682	0	12	337	336	2
683	0	12	336	335	3
684	0	12	335	334	2
685	0	12	334	332	1
686	0	12	333	339	1
687	0	12	339	329	2
688	0	12	329	328	2
689	0	12	328	327	1
690	0	12	327	326	2
691	0	12	326	325	1
692	0	12	325	324	1
693	0	12	324	323	1
694	0	12	323	322	1
695	0	12	322	321	19
696	1	12	107	321	0
697	2	12	321	107	0
698	1	12	80	322	0
699	2	12	322	80	0
700	1	12	6	323	0
701	2	12	323	6	0
702	1	12	79	324	0
703	2	12	324	79	0
704	1	12	15	325	0
705	2	12	325	15	0
706	1	12	9	326	0
707	2	12	326	9	0
708	1	12	14	327	0
709	2	12	327	14	0
710	1	12	19	328	0
711	2	12	328	19	0
712	1	12	58	329	0
713	2	12	329	58	0
714	1	12	65	330	0
715	2	12	330	65	0
716	1	12	56	331	0
717	2	12	331	56	0
718	1	12	72	332	0
719	2	12	332	72	0
720	1	12	73	333	0
721	2	12	333	73	0
722	1	12	46	334	0
723	2	12	334	46	0
724	1	12	64	335	0
725	2	12	335	64	0
726	1	12	1	336	0
727	2	12	336	1	0
728	1	12	99	337	0
729	2	12	337	99	0
730	1	12	108	338	0
731	2	12	338	108	0
732	1	12	74	339	0
733	2	12	339	74	0
734	0	13	340	341	20
735	0	13	341	342	1
736	0	13	342	343	2
737	0	13	343	344	3
738	0	13	344	345	1
739	0	13	345	346	2
740	0	13	346	347	1
741	0	13	347	348	2
742	0	13	348	349	2
743	0	13	349	350	3
744	0	13	350	351	1
745	0	13	351	352	1
746	0	13	352	353	2
747	0	13	353	354	0
748	0	13	354	355	2
749	0	13	355	356	1
750	0	13	356	357	1
751	0	13	357	358	29
752	0	13	358	357	27
753	0	13	357	356	1
754	0	13	356	355	1
755	0	13	355	354	2
756	0	13	354	353	0
757	0	13	353	352	2
758	0	13	352	351	1
759	0	13	351	350	1
760	0	13	350	359	2
761	0	13	359	360	1
762	0	13	360	347	3
763	0	13	348	346	1
764	0	13	346	345	1
765	0	13	345	344	2
766	0	13	344	361	2
767	0	13	361	343	1
768	0	13	343	342	1
769	0	13	342	341	1
770	0	13	341	340	20
771	1	13	109	340	0
772	2	13	340	109	0
773	1	13	91	341	0
774	2	13	341	91	0
775	1	13	29	342	0
776	2	13	342	29	0
777	1	13	7	343	0
778	2	13	343	7	0
779	1	13	1	344	0
780	2	13	344	1	0
781	1	13	64	345	0
782	2	13	345	64	0
783	1	13	46	346	0
784	2	13	346	46	0
785	1	13	72	347	0
786	2	13	347	72	0
787	1	13	73	348	0
788	2	13	348	73	0
789	1	13	74	349	0
790	2	13	349	74	0
791	1	13	10	350	0
792	2	13	350	10	0
793	1	13	44	351	0
794	2	13	351	44	0
795	1	13	35	352	0
796	2	13	352	35	0
797	1	13	62	353	0
798	2	13	353	62	0
799	1	13	37	354	0
800	2	13	354	37	0
801	1	13	42	355	0
802	2	13	355	42	0
803	1	13	78	356	0
804	2	13	356	78	0
805	1	13	77	357	0
806	2	13	357	77	0
807	1	13	110	358	0
808	2	13	358	110	0
809	1	13	65	359	0
810	2	13	359	65	0
811	1	13	56	360	0
812	2	13	360	56	0
813	1	13	0	361	0
814	2	13	361	0	0
815	0	14	362	363	2
816	0	14	363	364	3
817	0	14	364	365	2
818	0	14	365	366	2
819	0	14	366	367	1
820	0	14	367	368	2
821	0	14	368	369	2
822	0	14	369	370	1
823	0	14	370	371	43
824	0	14	371	370	41
825	0	14	370	369	1
826	0	14	369	372	1
827	0	14	372	368	1
828	0	14	368	367	2
829	0	14	367	366	1
830	0	14	366	365	2
831	0	14	365	364	1
832	0	14	364	373	4
833	0	14	373	374	1
834	0	14	374	375	3
835	1	14	73	362	0
836	2	14	362	73	0
837	1	14	74	363	0
838	2	14	363	74	0
839	1	14	10	364	0
840	2	14	364	10	0
841	1	14	44	365	0
842	2	14	365	44	0
843	1	14	45	366	0
844	2	14	366	45	0
845	1	14	63	367	0
846	2	14	367	63	0
847	1	14	12	368	0
848	2	14	368	12	0
849	1	14	51	369	0
850	2	14	369	51	0
851	1	14	47	370	0
852	2	14	370	47	0
853	1	14	111	371	0
854	2	14	371	111	0
855	1	14	92	372	0
856	2	14	372	92	0
857	1	14	65	373	0
858	2	14	373	65	0
859	1	14	56	374	0
860	2	14	374	56	0
861	1	14	72	375	0
862	2	14	375	72	0
863	0	15	376	377	1
864	0	15	377	378	1
865	0	15	378	379	1
866	0	15	379	380	2
867	0	15	380	381	2
868	0	15	381	382	2
869	0	15	382	383	1
870	0	15	383	384	2
871	0	15	384	385	2
872	0	15	385	386	1
873	0	15	386	387	48
874	0	15	387	386	45
875	0	15	386	385	1
876	0	15	385	388	1
877	0	15	388	384	1
878	0	15	384	383	1
879	0	15	383	382	1
880	0	15	382	381	2
881	0	15	381	380	2
882	0	15	380	379	1
883	0	15	379	378	1
884	0	15	378	389	1
885	0	15	389	390	1
886	0	15	390	391	4
887	1	15	73	376	0
888	2	15	376	73	0
889	1	15	74	377	0
890	2	15	377	74	0
891	1	15	58	378	0
892	2	15	378	58	0
893	1	15	61	379	0
894	2	15	379	61	0
895	1	15	93	380	0
896	2	15	380	93	0
897	1	15	39	381	0
898	2	15	381	39	0
899	1	15	45	382	0
900	2	15	382	45	0
901	1	15	63	383	0
902	2	15	383	63	0
903	1	15	12	384	0
904	2	15	384	12	0
905	1	15	51	385	0
906	2	15	385	51	0
907	1	15	47	386	0
